Subject,Topic,Completed,Target Date,Notes
DBMS,,True,2025-03-31,
Algorithms,,True,2025-03-31,
Data Structure,,False,2025-07-30,
Digital Logic,,False,2025-07-18,
Computer Org,,False,2025-07-18,
TOC,,True,2025-02-26,
Compiler,,False,2025-10-18,
CN,,False,2025-10-18,
General Aptitude,,False,2025-11-30,
Engineering Mathematics,Linear Algebra,True,2025-06-18,
Engineering Mathematics,Probability,True,2025-03-16,
Engineering Mathematics,Calculus,False,2025-09-16,
Discrete Mathematics,Graph Theory,False,2025-07-31,
Discrete Mathematics,Combinatorics,False,2025-07-31,
Discrete Mathematics,Logic,False,2025-07-31,
Discrete Mathematics,"Sets, Relation and Function",False,2025-07-31,
Discrete Mathematics,Group Theory,False,2025-07-31,
